Participant,Task,AOI,NumberOfFixations,TotalFixationDuration,FixationDurationAverage,NumberOfSaccades,TotalSaccadeLength,SaccadeLengthAverage,TotalSaccadeAbsAngle,SaccadeAbsAngleAverage,TotalSaccadeRelAngle,SaccadeRelAngleAverage,LongestFixationDurationInAOI,ProportionOfTotalFixations,ProportionOfTotalFixationDuration
30,DL11,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,Title_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,Answers_AOI,3,1025,341.6666666666667,3,808.1123819,269.37079396666667,208.66619384,69.55539794666667,339.85059217,113.28353072333334,443,0.06976744186046512,0.10678195645379727
30,DL11,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL11,Graph_AOI,12,2988,249.0,12,4638.43360408,386.5361336733333,1150.8295917570001,95.90246597975,1111.2548642949998,92.60457202458332,1025,0.27906976744186046,0.3112824252526305
30,DL11,NoAOI_AOI,28,5586,199.5,28,7598.447865800002,271.3731380642858,2242.8333121230007,80.1011897186786,2372.778046703,84.74207309653572,426,0.6511627906976745,0.5819356182935722
30,DH3,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH3,Title_AOI,3,536,178.66666666666666,3,759.4550241000001,253.15167470000003,222.94335229000004,74.31445076333334,467.1612895999999,155.72042986666665,190,0.023255813953488372,0.02149933817335847
30,DH3,LabelBox_AOI,16,4231,264.4375,16,2750.290231201,171.8931394500625,926.7536750539999,57.922104690874995,1105.151893106,69.071993319125,558,0.12403100775193798,0.16970839517067104
30,DH3,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH3,Answers_AOI,17,3958,232.8235294117647,17,1609.9855429200002,94.7050319364706,1202.005618194,70.70621283494117,1691.406313453,99.49448902664706,417,0.13178294573643412,0.15875817255625527
30,DH3,XAxis_AOI,9,1674,186.0,9,2942.0510498790004,326.8945610976667,1089.2215301,121.02461445555556,744.2121155909998,82.69023506566664,285,0.06976744186046512,0.0671453210861979
30,DH3,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH3,Graph_AOI,33,6112,185.21212121212122,33,8477.521247772,256.8945832658182,3528.6239696289995,106.92799907966665,2536.3387164009996,76.85874898184848,427,0.2558139534883721,0.24515663230516224
30,DH3,NoAOI_AOI,51,8420,165.09803921568627,51,15484.942534772003,303.6263242112157,4095.0940104700016,80.29596098960788,4881.570824422,95.71707498866668,453,0.3953488372093023,0.33773214070835506
30,CL3,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL3,Title_AOI,4,591,147.75,4,1187.72989201,296.9324730025,129.212874509,32.30321862725,648.3538361,162.088459025,169,0.09523809523809523,0.07452711223203026
30,CL3,LabelBox_AOI,1,130,130.0,1,227.31695930000004,227.31695930000004,3.026035083,3.026035083,14.61534792,14.61534792,130,0.023809523809523808,0.01639344262295082
30,CL3,OptionBox_AOI,1,257,257.0,1,366.8705494,366.8705494,66.71938266,66.71938266,108.1191731,108.1191731,257,0.023809523809523808,0.03240857503152585
30,CL3,Answers_AOI,2,588,294.0,2,757.9595028000002,378.9797514000001,239.69420299999996,119.84710149999998,218.36100959,109.180504795,395,0.047619047619047616,0.07414880201765447
30,CL3,XAxis_AOI,3,1190,396.6666666666667,3,775.8199015060001,258.60663383533335,318.40546577,106.13515525666666,155.97853067399998,51.992843558,968,0.07142857142857142,0.15006305170239598
30,CL3,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL3,Graph_AOI,14,2407,171.92857142857142,14,3768.72795185,269.1948537035714,1168.1026981599998,83.43590701142855,1318.9080236969996,94.20771597835711,335,0.3333333333333333,0.30353089533417404
30,CL3,NoAOI_AOI,17,2767,162.76470588235293,17,3839.37473771,225.84557280647059,1050.694056487,61.80553273452941,1776.1080841200003,104.4769461247059,250,0.40476190476190477,0.3489281210592686
30,CL11,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL11,Title_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL11,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL11,OptionBox_AOI,1,146,146.0,1,848.7838357999998,848.7838357999998,18.90457584,18.90457584,0.920419237,0.920419237,146,0.04,0.02283390678761339
30,CL11,Answers_AOI,2,1073,536.5,2,325.7140093,162.85700465,346.0583352,173.0291676,39.989668280000004,19.994834140000002,758,0.08,0.1678135752267751
30,CL11,XAxis_AOI,2,241,120.5,2,1386.5703747,693.28518735,248.14831900000001,124.07415950000001,201.31793706000002,100.65896853000001,141,0.08,0.03769158586174538
30,CL11,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL11,Graph_AOI,7,2408,344.0,7,2253.982683855,321.997526265,826.47825969,118.06832281285713,603.7109278459999,86.24441826371427,1334,0.28,0.3766030653737879
30,CL11,NoAOI_AOI,13,2526,194.30769230769232,13,5585.00572193,429.61582476384615,968.790670675,74.5223592826923,761.1507523,58.55005786923077,442,0.52,0.3950578667500782
30,DL13,Question_AOI,1,109,109.0,1,63.60031446,63.60031446,143.3102772,143.3102772,14.5394849,14.5394849,109,0.038461538461538464,0.01768906199285946
30,DL13,Title_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL13,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL13,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL13,Answers_AOI,6,1858,309.6666666666667,6,591.7977470420002,98.63295784033336,375.186967002,62.531161167,702.8122582900002,117.13537638166669,872,0.23076923076923078,0.3015254787406686
30,DL13,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL13,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL13,Graph_AOI,3,577,192.33333333333334,3,1571.9162176999998,523.9720725666666,325.17333264,108.39111088,101.024655013,33.67488500433333,260,0.11538461538461539,0.09363842908146705
30,DL13,NoAOI_AOI,16,3618,226.125,16,4908.93664908,306.8085405675,1112.2815112140001,69.51759445087501,1452.0472757750001,90.75295473593751,650,0.6153846153846154,0.5871470301850049
30,CL12,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL12,Title_AOI,2,402,201.0,2,261.8809111,130.94045555,23.874485366,11.937242683,311.65841520000004,155.82920760000002,243,0.03636363636363636,0.041020408163265305
30,CL12,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL12,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL12,Answers_AOI,11,2098,190.72727272727272,11,1626.26801494,147.84254681272728,607.014256025,55.18311418409091,494.509912793,44.955446617545455,506,0.2,0.21408163265306124
30,CL12,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL12,YAxis_AOI,1,101,101.0,1,1119.933034,1119.933034,175.8524182,175.8524182,77.32165261,77.32165261,101,0.01818181818181818,0.010306122448979592
30,CL12,Graph_AOI,22,3510,159.54545454545453,22,6748.2623529600005,306.7391978618182,1883.3137461909994,85.60517028140906,2244.398889849,102.01813135677274,300,0.4,0.35816326530612247
30,CL12,NoAOI_AOI,19,3689,194.1578947368421,19,5581.250130230001,293.75000685421054,1668.7281781610002,87.82779885057896,1639.468581663,86.28782008752631,458,0.34545454545454546,0.37642857142857145
30,DL2,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL2,Title_AOI,5,862,172.4,5,876.92277616,175.384555232,523.3269533499999,104.66539067,678.3577608,135.67155216,275,0.125,0.09010139019546358
30,DL2,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL2,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL2,Answers_AOI,8,3345,418.125,8,949.874794635,118.734349329375,577.107953729,72.138494216125,673.050817716,84.1313522145,1290,0.2,0.34963938538726874
30,DL2,XAxis_AOI,4,683,170.75,4,1273.368368,318.342092,520.48547294,130.121368235,393.35254327999996,98.33813581999999,224,0.1,0.07139124072331975
30,DL2,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL2,Graph_AOI,11,2724,247.63636363636363,11,4368.93752764,397.1761388763636,798.6473858470001,72.60430780427274,1354.99644748,123.18149522545454,819,0.275,0.2847287550956413
30,DL2,NoAOI_AOI,12,1953,162.75,12,3312.3113525999997,276.02594604999996,838.0462117429998,69.83718431191666,1130.44440864,94.20370071999999,308,0.3,0.2041392285983067
30,DH10,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH10,Title_AOI,3,368,122.66666666666667,3,972.8777504999999,324.2925835,334.02163852,111.34054617333334,285.37341739000004,95.12447246333335,168,0.08108108108108109,0.05611466910643489
30,DH10,LabelBox_AOI,7,1346,192.28571428571428,7,3184.4242495800004,454.9177499400001,312.450685571,44.63581222442857,230.497463606,32.92820908657143,249,0.1891891891891892,0.20524550167734065
30,DH10,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH10,Answers_AOI,1,326,326.0,1,8.246211251,8.246211251,104.0362435,104.0362435,74.52474491,74.52474491,326,0.02702702702702703,0.04971027752363526
30,DH10,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH10,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH10,Graph_AOI,12,2199,183.25,12,5857.42959807,488.11913317249997,1424.725580663,118.72713172191668,916.635705662,76.38630880516666,438,0.32432432432432434,0.3353156450137237
30,DH10,NoAOI_AOI,14,2319,165.64285714285714,14,3516.9829951300003,251.21307108071431,822.357307496,58.739807678285715,1259.639883496,89.97427739257144,367,0.3783783783783784,0.3536139066788655
30,DL9,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL9,Title_AOI,1,102,102.0,1,772.1690229,772.1690229,109.9133728,109.9133728,52.22653312,52.22653312,102,0.038461538461538464,0.018175338560228082
30,DL9,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL9,OptionBox_AOI,1,109,109.0,1,617.0129658,617.0129658,36.49845533,36.49845533,6.510781636,6.510781636,109,0.038461538461538464,0.019422665716322167
30,DL9,Answers_AOI,3,849,283.0,3,710.05447167,236.68482389,433.26473811000005,144.42157937000002,251.02281,83.67426999999999,426,0.11538461538461539,0.15128296507483963
30,DL9,XAxis_AOI,1,342,342.0,1,616.5557557999998,616.5557557999998,73.12273621,73.12273621,20.67648362,20.67648362,342,0.038461538461538464,0.06094084105488239
30,DL9,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL9,Graph_AOI,9,1713,190.33333333333334,9,3887.9115082000008,431.99016757777787,761.1705478160001,84.5745053128889,924.2865837889999,102.69850930988888,348,0.34615384615384615,0.30523877405559513
30,DL9,NoAOI_AOI,11,2497,227.0,11,4153.73795433,377.6125413027273,1180.889794179,107.35361765263637,631.6804892309999,57.42549902099999,469,0.4230769230769231,0.4449394155381326
30,DL10,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL10,Title_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL10,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL10,OptionBox_AOI,3,468,156.0,3,1232.6699014,410.88996713333336,143.66591601,47.88863867,153.756312735,51.252104245,225,0.08333333333333333,0.06225059856344772
30,DL10,Answers_AOI,3,957,319.0,3,972.16504973,324.0550165766667,449.25140149999993,149.75046716666665,174.57992803,58.19330934333333,422,0.08333333333333333,0.12729449321628092
30,DL10,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL10,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL10,Graph_AOI,14,2462,175.85714285714286,14,2807.2377689200002,200.51698349428574,1449.2709163100003,103.51935116500002,1026.0918883319998,73.29227773799998,317,0.3888888888888889,0.3274807129555733
30,DL10,NoAOI_AOI,16,3631,226.9375,16,4664.594913530002,291.5371820956251,1460.3757153000001,91.27348220625001,1418.749092159,88.6718182599375,764,0.4444444444444444,0.48297419526469804
30,DH2,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH2,Title_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH2,LabelBox_AOI,3,606,202.0,3,417.26906204,139.08968734666666,285.23955659000006,95.07985219666669,347.08837045999996,115.69612348666665,308,0.0967741935483871,0.10934680620714543
30,DH2,OptionBox_AOI,2,320,160.0,2,321.103259074,160.551629537,192.27578579,96.137892895,187.21758978999998,93.60879489499999,192,0.06451612903225806,0.057740887766149405
30,DH2,Answers_AOI,3,780,260.0,3,353.41550985000003,117.80516995,47.304778138,15.768259379333335,322.90411751,107.63470583666667,327,0.0967741935483871,0.14074341392998918
30,DH2,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH2,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH2,Graph_AOI,15,2628,175.2,15,5139.55947245,342.6372981633333,1266.0878103989996,84.40585402659998,1570.4842577170002,104.69895051446669,338,0.4838709677419355,0.474197040779502
30,DH2,NoAOI_AOI,8,1208,151.0,8,2173.61795672,271.70224459,690.874624449,86.359328056125,559.5013733999999,69.93767167499999,243,0.25806451612903225,0.217971851317214
30,CH2,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH2,Title_AOI,1,193,193.0,1,316.1803283000001,316.1803283000001,10.38588712,10.38588712,178.4344924,178.4344924,193,0.02040816326530612,0.02071482236771493
30,CH2,LabelBox_AOI,5,680,136.0,5,165.03935882,33.007871764,473.59260393,94.718520786,454.60039137,90.920078274,167,0.10204081632653061,0.07298486637329613
30,CH2,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH2,Answers_AOI,6,1382,230.33333333333334,6,1292.2066278080001,215.36777130133336,385.542563713,64.25709395216667,431.41656108000006,71.90276018000002,466,0.12244897959183673,0.14833100783514006
30,CH2,XAxis_AOI,1,958,958.0,1,38.07886553,38.07886553,103.6713071,103.6713071,122.9652699,122.9652699,958,0.02040816326530612,0.10282279703767307
30,CH2,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH2,Graph_AOI,14,2393,170.92857142857142,14,3802.27789255,271.5912780392857,1575.1854421,112.51324586428572,1497.57622405,106.96973028928572,305,0.2857142857142857,0.2568423312224965
30,CH2,NoAOI_AOI,22,3711,168.6818181818182,22,5342.5059422,242.84117919090912,1915.9180392889998,87.08718360404545,1910.3621693899997,86.83464406318181,644,0.4489795918367347,0.3983041751636793
30,CH5,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH5,Title_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH5,LabelBox_AOI,19,5122,269.57894736842104,19,2638.1743348610003,138.85128078215791,1619.845716346,85.25503770242105,1331.7693350230002,70.09312289594737,477,0.12337662337662338,0.16034310042574507
30,CH5,OptionBox_AOI,8,2596,324.5,8,1336.21139834,167.0264247925,530.576610892,66.3220763615,768.005375865,96.000671983125,755,0.05194805194805195,0.081267217630854
30,CH5,Answers_AOI,34,7201,211.7941176470588,34,7110.098820825001,209.1205535536765,3034.2827277169995,89.24360963873528,3423.0235285410004,100.67716260414707,622,0.22077922077922077,0.22542574505384422
30,CH5,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH5,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CH5,Graph_AOI,15,2311,154.06666666666666,15,3773.850185432,251.59001236213334,1361.802009225,90.78680061499999,1025.262920759,68.35086138393333,308,0.09740259740259741,0.07234535437014776
30,CH5,NoAOI_AOI,78,14714,188.64102564102564,78,18255.061768300005,234.03925343974365,6483.333796017997,83.11966405151279,7254.307074559997,93.0039368533333,566,0.5064935064935064,0.46061858251940896
30,DH1,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH1,Title_AOI,1,119,119.0,1,787.0514596,787.0514596,106.9154011,106.9154011,69.31474517,69.31474517,119,0.0625,0.04294478527607362
30,DH1,LabelBox_AOI,3,864,288.0,3,440.12655320999994,146.70885106999998,194.157390268,64.71913008933333,197.04779134400002,65.68259711466668,575,0.1875,0.3118007939372068
30,DH1,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH1,Answers_AOI,2,518,259.0,2,134.35445634,67.17722817,345.6555354000001,172.82776770000004,271.1038,135.5519,267,0.125,0.1869361241429087
30,DH1,XAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH1,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH1,Graph_AOI,6,761,126.83333333333333,6,2953.56168734,492.2602812233333,820.7687756440001,136.7947959406667,351.81018823200003,58.63503137200001,143,0.375,0.27463009743774813
30,DH1,NoAOI_AOI,4,509,127.25,4,2505.5643429000006,626.3910857250002,121.799684613,30.44992115325,285.64260569299995,71.41065142324999,146,0.25,0.1836881992060628
30,DL5,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,Title_AOI,1,125,125.0,1,882.9065636,882.9065636,119.294123,119.294123,159.2750189,159.2750189,125,0.05555555555555555,0.03840245775729647
30,DL5,LabelBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,OptionBox_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,Answers_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,XAxis_AOI,1,108,108.0,1,731.0950691,731.0950691,123.7335393,123.7335393,2.147325662,2.147325662,108,0.05555555555555555,0.03317972350230415
30,DL5,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DL5,Graph_AOI,2,287,143.5,2,291.34193448999997,145.67096724499999,190.61876253000003,95.30938126500001,180.28991285,90.144956425,175,0.1111111111111111,0.08817204301075268
30,DL5,NoAOI_AOI,14,2735,195.35714285714286,14,3073.8627633,219.56162595,751.27272485,53.66233748928572,1362.2647999229998,97.30462856592855,438,0.7777777777777778,0.8402457757296466
30,DH5,Question_AOI,1,100,100.0,1,86.57944329,86.57944329,6.632514615,6.632514615,142.5924834,142.5924834,100,0.00847457627118644,0.004097017371353655
30,DH5,Title_AOI,4,759,189.75,4,672.900827,168.22520675,38.233261039,9.55831525975,586.93965702,146.734914255,333,0.03389830508474576,0.031096361848574238
