Participant,FixationDuration_Sum,FixationDuration_Average,FixationDuration_StandardDeviation,Saccade_length_Sum,Saccade_length_Average,Saccade_length_StandardDeviation,Saccade_absolute_angle_Sum,Saccade_absolute_angle_Average,Saccade_absolute_angle_StandardDeviation,Saccade_relative_angle_Sum,Saccade_relative_angle_Average,Saccade_relative_angle_StandardDeviation,Question_AOI_NumberOfFixations,Question_AOI_FixationDurationSum,Question_AOI_FixationDurationMean,Question_AOI_LongestFixationInAOI,Question_AOI_ProportionOfTotalFixations,Question_AOI_ProportionOfTotalFixationDuration,Title_AOI_NumberOfFixations,Title_AOI_FixationDurationSum,Title_AOI_FixationDurationMean,Title_AOI_LongestFixationInAOI,Title_AOI_ProportionOfTotalFixations,Title_AOI_ProportionOfTotalFixationDuration,LabelBox_AOI_NumberOfFixations,LabelBox_AOI_FixationDurationSum,LabelBox_AOI_FixationDurationMean,LabelBox_AOI_LongestFixationInAOI,LabelBox_AOI_ProportionOfTotalFixations,LabelBox_AOI_ProportionOfTotalFixationDuration,OptionBox_AOI_NumberOfFixations,OptionBox_AOI_FixationDurationSum,OptionBox_AOI_FixationDurationMean,OptionBox_AOI_LongestFixationInAOI,OptionBox_AOI_ProportionOfTotalFixations,OptionBox_AOI_ProportionOfTotalFixationDuration,Answers_AOI_NumberOfFixations,Answers_AOI_FixationDurationSum,Answers_AOI_FixationDurationMean,Answers_AOI_LongestFixationInAOI,Answers_AOI_ProportionOfTotalFixations,Answers_AOI_ProportionOfTotalFixationDuration,XAxis_AOI_NumberOfFixations,XAxis_AOI_FixationDurationSum,XAxis_AOI_FixationDurationMean,XAxis_AOI_LongestFixationInAOI,XAxis_AOI_ProportionOfTotalFixations,XAxis_AOI_ProportionOfTotalFixationDuration,YAxis_AOI_NumberOfFixations,YAxis_AOI_FixationDurationSum,YAxis_AOI_FixationDurationMean,YAxis_AOI_LongestFixationInAOI,YAxis_AOI_ProportionOfTotalFixations,YAxis_AOI_ProportionOfTotalFixationDuration,Graph_AOI_NumberOfFixations,Graph_AOI_FixationDurationSum,Graph_AOI_FixationDurationMean,Graph_AOI_LongestFixationInAOI,Graph_AOI_ProportionOfTotalFixations,Graph_AOI_ProportionOfTotalFixationDuration,NoAOI_AOI_NumberOfFixations,NoAOI_AOI_FixationDurationSum,NoAOI_AOI_FixationDurationMean,NoAOI_AOI_LongestFixationInAOI,NoAOI_AOI_ProportionOfTotalFixations,NoAOI_AOI_ProportionOfTotalFixationDuration
10,1308455,225.20740103270225,149.15172611917853,1044875.8985804409,179.8409463993874,227.98518453481324,448900.863916661,77.26348776534613,66.24043855858679,565751.626157131,97.37549503565079,63.45737250763709,430,98629,229.3698,1199,0.101105,0.100312,65,15634,240.5231,875,0.015283,0.015901,278,75462,271.446,1241,0.065366,0.07675,161,28864,179.2795,483,0.037856,0.029356,228,56632,248.386,1025,0.053609,0.057598,35,7171,204.8857,542,0.008229,0.007293,70,19953,285.0429,1259,0.016459,0.020293,1131,261432,231.1512,1608,0.26593,0.265893,1855,419447,226.117,1407,0.436163,0.426604
11,369859,164.01729490022174,106.53937357305678,566634.296178206,251.27906704133304,286.0108474137236,180956.705954927,80.24687625495653,65.95131086659211,180475.24682091398,80.0333688784541,59.393218768557475,2,267,133.5,158,0.001495,0.001221,25,3784,151.36,308,0.018685,0.0173,42,6365,151.5476,262,0.03139,0.029101,58,8877,153.0517,308,0.043348,0.040586,71,11424,160.9014,730,0.053064,0.05223,9,1510,167.7778,299,0.006726,0.006904,24,3619,150.7917,324,0.017937,0.016546,312,52343,167.766,1004,0.233184,0.239312,795,130534,164.1937,1022,0.59417,0.596801
12,1731930,238.6893605292172,164.64957162429067,1331917.29959709,183.56081857732775,209.6548715332914,595658.42348358,82.09184447127619,68.56730159222748,652058.04822224,89.86467037241455,65.55835872702026,521,112444,215.8234,1117,0.096625,0.086157,35,7781,222.3143,1162,0.006491,0.005962,294,83787,284.9898,1322,0.054525,0.064199,239,61929,259.1172,1183,0.044325,0.047451,207,53167,256.8454,2042,0.03839,0.040738,81,16202,200.0247,840,0.015022,0.012414,48,13228,275.5833,1312,0.008902,0.010136,1953,519223,265.8592,2833,0.362203,0.397838,2014,437349,217.1544,1101,0.373516,0.335105
13,1146067,244.9908080376229,180.84260093449487,1047398.8601642479,223.89885852164343,229.09141768224185,424489.331862889,90.74162716179757,65.47911727799328,389941.015887565,83.35635226326741,61.90788478170749,169,34467,203.9467,1037,0.053262,0.045491,34,7587,223.1471,692,0.010715,0.010014,88,27812,316.0455,1375,0.027734,0.036707,99,29332,296.2828,1915,0.031201,0.038714,20,4112,205.6,552,0.006303,0.005427,46,10378,225.6087,702,0.014497,0.013697,24,4739,197.4583,575,0.007564,0.006255,1452,329513,226.9373,2293,0.457611,0.434905,1241,309726,249.5778,1918,0.391113,0.40879
14,1978592,250.32793522267207,183.24967565585777,1802549.871203215,228.0553986846173,257.428147705367,627765.4857418281,79.42377096936085,66.40158104772853,736182.164321607,93.14045601234906,63.43462490808282,876,194429,221.9509,1100,0.149514,0.135217,55,12805,232.8182,610,0.009387,0.008905,400,114597,286.4925,1129,0.068271,0.079697,294,85540,290.9524,1509,0.050179,0.059489,257,58098,226.0623,997,0.043864,0.040405,95,18951,199.4842,911,0.016214,0.01318,90,24214,269.0444,1349,0.015361,0.01684,2234,583388,261.1406,1532,0.381294,0.40572,1558,345886,222.0064,1355,0.265916,0.240548
16,1287269,198.46885599753315,126.09205874958496,1277156.310391943,196.9096994128805,239.669940033487,506588.78963587596,78.10496294108479,67.12429461399083,590225.880739881,90.99998161268593,63.9760457483724,754,150946,200.1936,1026,0.160836,0.165928,34,8105,238.3824,1308,0.007253,0.008909,360,73603,204.4528,997,0.076792,0.080908,325,56006,172.3262,973,0.069326,0.061565,112,20278,181.0536,1036,0.023891,0.022291,49,8375,170.9184,619,0.010452,0.009206,43,7884,183.3488,638,0.009172,0.008667,1645,333040,202.4559,1268,0.350896,0.366095,1366,251472,184.0937,1282,0.291382,0.276431
17,1439404,219.99144123490754,156.70500763934214,1180591.5579503998,180.43581811866113,234.2828909664453,602674.008948955,92.10973696300702,65.20652646773932,551487.798760404,84.28668787412563,60.031072827011656,306,55706,182.0458,1004,0.061931,0.051851,35,7794,222.6857,822,0.007084,0.007255,157,32936,209.7834,820,0.031775,0.030657,328,86885,264.8933,1558,0.066383,0.080872,206,46849,227.4223,1317,0.041692,0.043607,48,10028,208.9167,723,0.009715,0.009334,61,13374,219.2459,525,0.012346,0.012448,2266,512230,226.0503,1499,0.458612,0.476781,1534,308549,201.1402,1511,0.310463,0.287196
18,876852,231.78747026169705,184.13099681726231,851181.8594726571,225.00181323622974,252.56830744693545,318190.35219098104,84.11058741500952,60.852576773793245,315080.551469661,83.28854122909358,59.21154644809567,83,13805,166.3253,850,0.027834,0.019531,24,4292,178.8333,997,0.008048,0.006072,74,16974,229.3784,1061,0.024816,0.024015,82,21582,263.1951,1009,0.027498,0.030534,55,12110,220.1818,784,0.018444,0.017133,30,6720,224.0,938,0.01006,0.009507,27,5647,209.1481,757,0.009054,0.007989,1557,359893,231.1452,1431,0.522133,0.509171,1050,265798,253.141,2331,0.352113,0.376047
19,1426941,229.22746987951808,163.8671860864027,1297593.47864972,208.44875159031648,236.4485035117463,544419.059852661,87.45687708476481,65.78946495941487,535769.5261367441,86.06739375690668,62.54507175813308,112,25345,226.2946,1026,0.023659,0.023709,19,4262,224.3158,917,0.004014,0.003987,178,41675,234.1292,1002,0.0376,0.038985,156,35293,226.2372,1264,0.032953,0.033015,182,44779,246.0385,1517,0.038445,0.041889,87,19313,221.9885,856,0.018378,0.018066,86,16082,187.0,891,0.018166,0.015044,2533,610796,241.1354,1988,0.535065,0.571372,1381,271453,196.5626,1374,0.291719,0.253932
20,1762350,258.7125660598943,175.1240855481082,1255620.2966592498,184.32476462995447,200.72437984319401,609474.085999518,89.47065267168497,68.4805092785564,664659.9500459121,97.5719245516606,64.91678115182849,994,205072,206.3099,891,0.201092,0.163184,22,4322,196.4545,785,0.004451,0.003439,273,83517,305.9231,1032,0.05523,0.066458,205,54670,266.6829,768,0.041473,0.043503,348,114523,329.0891,1549,0.070403,0.091131,132,32327,244.9015,1185,0.026704,0.025724,31,7298,235.4194,826,0.006271,0.005807,1697,470510,277.2599,2325,0.343314,0.374404,1241,284453,229.2127,1608,0.251062,0.226351
21,1012157,213.62536935415787,140.7335782708002,1028346.227411224,217.04225990106036,239.4359085954622,411959.243561298,86.94791970479064,65.63369022215274,399577.014845727,84.33453247060511,61.773887831555335,149,29532,198.2013,1188,0.041842,0.038694,49,10029,204.6735,953,0.01376,0.01314,136,28859,212.1985,975,0.038192,0.037812,214,50118,234.1963,1092,0.060095,0.065666,276,71950,260.6884,1379,0.077506,0.094271,94,18513,196.9468,591,0.026397,0.024256,10,1876,187.6,258,0.002808,0.002458,1435,317844,221.4941,1165,0.402977,0.416448,1198,234506,195.7479,1284,0.336422,0.307256
22,1226042,233.22084839261936,149.8229146187795,1062226.920174003,202.05952447669833,231.41571425718013,434512.962649679,82.65416828032699,65.95443569127274,478139.41498228296,90.95290374401426,61.95312334959507,404,88943,220.1559,943,0.108807,0.102694,27,6103,226.037,603,0.007272,0.007047,208,49202,236.5481,1085,0.056019,0.056809,125,33538,268.304,1091,0.033665,0.038723,260,79535,305.9038,1535,0.070024,0.091832,102,26291,257.7549,1029,0.027471,0.030356,14,2899,207.0714,472,0.003771,0.003347,1078,243753,226.116,1208,0.290331,0.281439,1495,335832,224.6368,1100,0.402639,0.387754
24,676698,180.35660980810235,117.14629440920778,921468.891192649,245.5940541558233,267.4912627337315,329004.299880041,87.68771318764419,65.82882390768845,310965.28595110006,82.87987365434437,61.088516623932705,372,65814,176.9194,1200,0.13071,0.130367,15,2976,198.4,467,0.005271,0.005895,205,35250,171.9512,978,0.072031,0.069825,126,19344,153.5238,995,0.044273,0.038317,135,29590,219.1852,1262,0.047435,0.058613,41,6162,150.2927,314,0.014406,0.012206,29,4153,143.2069,273,0.01019,0.008226,854,150904,176.7026,1166,0.30007,0.298917,1069,190642,178.3368,1069,0.375615,0.377632
25,951554,204.6792858679286,131.78661005001388,950934.760008651,204.54608733246954,230.6259104476226,365729.66767926596,78.66845938465605,68.05691513953093,403008.89491392695,86.68722196470789,64.10723932651914,474,92772,195.7215,1077,0.171305,0.178082,19,4012,211.1579,888,0.006867,0.007701,76,11885,156.3816,400,0.027467,0.022814,51,7089,139.0,243,0.018432,0.013608,65,9713,149.4308,980,0.023491,0.018645,22,2888,131.2727,201,0.007951,0.005544,29,5218,179.931,709,0.010481,0.010016,1139,221576,194.5356,1060,0.411637,0.42533,892,165798,185.8722,1043,0.322371,0.31826
26,1076029,213.58257244938468,140.47542234242727,990062.3903182761,196.51893416400875,234.16873846646226,417219.005954981,82.81441166236225,64.39265417290618,451429.532270474,89.60490914459588,61.49399783477157,211,37963,179.9194,842,0.058514,0.050536,51,10651,208.8431,667,0.014143,0.014179,230,49771,216.3957,982,0.063783,0.066255,267,70558,264.2622,1035,0.074043,0.093927,181,41294,228.1436,1095,0.050194,0.054971,35,5568,159.0857,241,0.009706,0.007412,7,1020,145.7143,258,0.001941,0.001358,1246,266199,213.6429,1542,0.345535,0.354365,1378,268177,194.6132,1329,0.382141,0.356998
27,1501062,261.87404047452895,196.67753704553408,1241445.373443811,216.58153758614986,226.72017609315824,490044.192773963,85.49270634577162,67.88682474124963,511471.066937511,89.23082116844225,64.32910196321485,511,115538,226.1018,1171,0.119365,0.101896,31,6756,217.9355,686,0.007241,0.005958,193,56312,291.772,1709,0.045083,0.049663,276,80756,292.5942,1330,0.064471,0.071221,274,94323,344.2445,3616,0.064004,0.083186,86,17683,205.6163,892,0.020089,0.015595,19,4597,241.9474,473,0.004438,0.004054,1652,472286,285.8874,2459,0.385891,0.416521,1239,285633,230.5351,1268,0.289418,0.251907
28,1565534,248.65533672172808,192.44288841817496,1294204.7935808399,205.5598465026747,247.6418983455158,538162.343462912,85.47686522600254,67.20025412412797,499901.12737373996,79.39979786749365,62.54818828635009,12,1722,143.5,269,0.002438,0.00141,21,3340,159.0476,241,0.004266,0.002736,64,13083,204.4219,1089,0.013,0.010716,395,137788,348.8304,2210,0.080236,0.112861,377,114218,302.9655,1649,0.076579,0.093555,138,30520,221.1594,832,0.028032,0.024999,57,14036,246.2456,1076,0.011578,0.011497,2234,522125,233.7175,2002,0.453788,0.427667,1625,384036,236.3298,1700,0.330083,0.31456
29,1050648,211.14308681672026,153.65667670464856,993701.974215268,199.6989498021037,230.52457736980313,418982.966311365,84.20075689537079,63.32221041131922,463503.046278049,93.14771830346643,59.56772566590093,381,67813,177.9869,1038,0.107658,0.090473,28,4528,161.7143,282,0.007912,0.006041,243,58189,239.4609,944,0.068663,0.077633,174,36887,211.9943,1085,0.049166,0.049213,97,22453,231.4742,1213,0.027409,0.029956,40,8362,209.05,572,0.011303,0.011156,9,1182,131.3333,253,0.002543,0.001577,1696,383878,226.3432,1787,0.479231,0.512151,871,166249,190.8714,1160,0.246115,0.221801
30,557419,193.68276580959,125.99309138689995,679722.4226013119,236.17874308593187,250.75410462569235,241788.289241372,84.0126091874121,64.155606515934,247861.802067123,86.12293331032765,61.147630185887245,18,3421,190.0556,986,0.008802,0.00849,52,8542,164.2692,342,0.025428,0.021198,118,29508,250.0678,1151,0.057702,0.073227,44,8656,196.7273,755,0.021516,0.021481,234,58461,249.8333,1290,0.114425,0.145076,75,14739,196.52,968,0.036675,0.036576,10,2098,209.8,522,0.00489,0.005206,640,120010,187.5156,1334,0.312958,0.297816,854,157532,184.4637,951,0.417604,0.39093
31,713822,209.82422104644326,146.191239583892,751124.078576301,220.7889707749268,239.63773426575221,300885.48018404003,88.4437037578013,62.06805414337619,279940.81098325795,82.28712844892944,58.961729410690985,8,2003,250.375,979,0.003127,0.00366,40,7518,187.95,760,0.015637,0.013736,117,29208,249.641,1330,0.045739,0.053364,177,46435,262.3446,1116,0.069195,0.084838,246,66205,269.126,1458,0.096169,0.120958,69,12921,187.2609,735,0.026974,0.023607,4,786,196.5,300,0.001564,0.001436,1049,223054,212.6349,1200,0.410086,0.407526,848,159207,187.7441,1012,0.331509,0.290876
32,570495,199.61336599020294,136.46569592247312,747015.836005872,261.37712946321625,281.0908535385734,244996.524884496,85.72306678953674,65.27516188329126,227904.85800045298,79.74277746691847,59.42656582681181,180,36197,201.0944,947,0.080717,0.082935,22,3610,164.0909,383,0.009865,0.008271,133,28744,216.1203,1075,0.059641,0.065858,182,37555,206.3462,1050,0.081614,0.086046,5,770,154.0,200,0.002242,0.001764,65,10464,160.9846,396,0.029148,0.023975,12,2770,230.8333,862,0.005381,0.006347,776,151744,195.5464,1367,0.347982,0.347677,855,164597,192.5111,1104,0.383408,0.377126
33,344700,188.87671232876713,136.1541012508654,443385.663670321,242.95104858647727,257.9914383882274,161131.954214671,88.29148176146356,63.16660898792797,148500.970835408,81.37039497830575,58.670048669134424,10,1142,114.2,140,0.008826,0.005501,8,1255,156.875,277,0.007061,0.006045,10,1265,126.5,175,0.008826,0.006093,41,7499,182.9024,372,0.036187,0.036122,34,6387,187.8529,987,0.030009,0.030765,18,2607,144.8333,258,0.015887,0.012558,2,377,188.5,216,0.001765,0.001816,573,116208,202.8063,1600,0.505737,0.559758,437,70864,162.1602,1228,0.385702,0.341342
34,1268069,222.78092059030217,150.27732917752294,1158458.515666228,203.52398377832537,232.13759403396162,480452.951809455,84.40845955893447,68.73762307478496,518222.2063809979,91.04395755112401,65.83664958494586,508,109075,214.7146,1128,0.122262,0.119877,41,10441,254.6585,948,0.009868,0.011475,156,39952,256.1026,986,0.037545,0.043909,131,33464,255.4504,941,0.031528,0.036778,292,75011,256.887,1632,0.070277,0.08244,66,10978,166.3333,333,0.015884,0.012065,52,10340,198.8462,946,0.012515,0.011364,1494,327134,218.9652,1341,0.359567,0.359531,1415,293496,207.4177,1416,0.340554,0.322562
35,865578,208.6232827187274,138.47934320130264,798121.458682933,192.36477673726995,230.02388863251772,348503.46333802,83.99697838949626,68.77764423615855,349371.087029221,84.20609472866256,64.99586800194487,531,109330,205.8945,994,0.197618,0.199341,39,8679,222.5385,726,0.014514,0.015824,141,38776,275.0071,966,0.052475,0.0707,98,20082,204.9184,858,0.036472,0.036615,136,25639,188.5221,1252,0.050614,0.046747,37,6030,162.973,765,0.01377,0.010994,27,4986,184.6667,945,0.010048,0.009091,836,163623,195.7213,1340,0.311128,0.298333,842,171313,203.4596,1341,0.313361,0.312354
36,690793,201.04569266589058,137.34635594859628,712184.7506993059,207.27146411504827,244.66602672312303,299200.779290642,87.07822447341152,62.63526344215838,294759.082139737,85.7855303084217,60.76249486575399,117,20904,178.6667,692,0.046632,0.041126,8,1628,203.5,602,0.003189,0.003203,106,21231,200.2925,1029,0.042248,0.041769,132,23948,181.4242,873,0.052611,0.047115,50,8729,174.58,548,0.019928,0.017173,31,7222,232.9677,918,0.012356,0.014208,18,2910,161.6667,358,0.007174,0.005725,1225,267829,218.6359,1452,0.488242,0.526922,822,153889,187.2129,1155,0.327621,0.302758
50,491477,195.10797935688765,133.87159186869286,524621.242062132,208.2656776745264,238.8766090506102,210104.737097333,83.4079940838956,66.45871384127815,211183.41120585002,83.83620929172291,61.87214061079491,219,38048,173.7352,1168,0.092522,0.082213,84,20509,244.1548,1073,0.035488,0.044315,261,57037,218.5326,1167,0.110266,0.123244,29,5753,198.3793,968,0.012252,0.012431,0,0,0,0,0.0,0.0,2,657,328.5,552,0.000845,0.00142,4,1093,273.25,534,0.00169,0.002362,542,99640,183.8376,971,0.228982,0.215299,1226,240061,195.8083,1515,0.517955,0.518717
51,1176357,232.66554588607596,164.04753444802347,954409.5157205111,188.76770484978462,215.19959094604016,440362.03892534,87.09692225580301,64.38579506773947,442814.734317973,87.58202814833326,62.08940316271445,617,139005,225.2917,1171,0.168212,0.158642,34,9044,266.0,692,0.009269,0.010322,207,70520,340.6763,2062,0.056434,0.080482,252,76006,301.6111,1743,0.068702,0.086743,172,38140,221.7442,1345,0.046892,0.043528,54,10046,186.037,920,0.014722,0.011465,7,1174,167.7143,349,0.001908,0.00134,1124,267863,238.3123,1284,0.306434,0.305703,1201,264421,220.1674,1357,0.327426,0.301775
52,951320,220.87764104945438,158.7553295124011,854218.869651197,198.33268392180102,218.49685309158886,373523.31704802706,86.7247079284948,66.23496930180467,378551.777265836,87.89221668582215,63.13437731977342,146,26273,179.9521,1005,0.051939,0.042547,5,838,167.6,249,0.001779,0.001357,118,27996,237.2542,1768,0.041978,0.045337,70,21255,303.6429,1253,0.024902,0.034421,254,73375,288.878,1352,0.090359,0.118824,41,6822,166.3902,349,0.014586,0.011048,6,944,157.3333,200,0.002134,0.001529,1421,313714,220.7699,1422,0.505514,0.508031,750,146292,195.056,2154,0.266809,0.236907
7,549611,191.56883931683512,133.6132291279193,739024.0388412741,257.58941751177207,293.7479785976093,256402.140930861,89.36986438858871,61.15044275204401,226319.488132017,78.88445037714081,57.642156976961076,30,6055,201.8333,1081,0.01519,0.016528,21,3209,152.8095,269,0.010633,0.00876,75,14453,192.7067,683,0.037975,0.039452,162,33470,206.6049,941,0.082025,0.091363,181,36317,200.6464,894,0.091646,0.099134,36,7156,198.7778,573,0.018228,0.019534,29,6339,218.5862,638,0.014684,0.017304,806,149167,185.0707,1185,0.408101,0.40718,635,110176,173.5055,1484,0.321519,0.300746
8,987896,180.27299270072993,100.9669978762482,988029.0575134641,180.2972732688803,215.17478475449067,461747.2433909113,84.26044587425389,69.54755308529634,480506.8538536419,87.68373245504414,65.26992388030445,517,98492,190.5068,969,0.168569,0.176188,32,5376,168.0,325,0.010434,0.009617,120,21480,179.0,1027,0.039126,0.038425,143,22194,155.2028,914,0.046625,0.039702,160,27779,173.6188,649,0.052168,0.049693,38,5566,146.4737,383,0.01239,0.009957,25,5616,224.64,978,0.008151,0.010046,722,132575,183.6219,1555,0.235409,0.237158,1310,239938,183.1588,995,0.427127,0.429215
